play_id,nfl_id,A,S,E,Eyes,Innovation,Improv,player_side,game_id,frame_id,player_position,player_role,x,y,s,a,dir,o,num_frames_output,ball_land_x,ball_land_y,season,week,pass_result,pass_length,route_of_targeted_receiver,team_coverage_man_zone,yards_gained,expected_points,expected_points_added,throw_frame,PER10,PER10360
3663,56042,5.0,6.0,7.0,5.5,3.5,5.0,Offense,2023091012,14,WR,Targeted Receiver,44.75,8.42,5.3,3.26,241.46,258.08,26,13.6300001144409,2.72000002861023,2023,1,I,33,GO,ZONE_COVERAGE,0,2.76102120045107,-1.31403543159831,24,5,5
928,55887,6.5,5.5,9.0,8.0,4.0,3.0,Offense,2023091400,10,WR,Targeted Receiver,66.84,44.26,4.15,4.49,275.75,277.3,10,61.5400009155273,46.5299987792969,2023,2,C,5,HITCH,ZONE_COVERAGE,9,1.7030351520516,0.401045208331198,20,7,6
3891,47834,6.5,3.0,6.0,5.0,4.0,3.5,Offense,2023092500,7,WR,Targeted Receiver,97.08,10.47,1.75,4.32,73.63,94.74,7,101.190002441406,18.0100002288818,2023,3,C,3,SLANT,MAN_COVERAGE,4,2.98015981761273,-2.98015981761273,17,5,5
2346,54517,4.0,4.0,4.5,4.5,3.0,3.0,Offense,2023092412,19,WR,Targeted Receiver,37.54,34.68,5.83,3.23,172.77,153.66,8,36.3800010681152,21.2099990844727,2023,3,C,3,CROSS,MAN_COVERAGE,32,0.213170912116766,3.24990486796014,29,4,4
2687,52595,5.0,5.5,6.5,4.0,4.0,4.0,Offense,2023092401,18,WR,Targeted Receiver,85.17,37.37,5.4,2.34,97.11,71.79,9,89.5599975585938,31.4400005340576,2023,3,C,10,IN,ZONE_COVERAGE,12,3.33067478239536,1.67921183793806,28,5,5
1398,52441,5.0,3.0,5.0,4.5,3.0,3.5,Offense,2023092501,21,WR,Targeted Receiver,81.2,12.18,5.4,4.19,334.83,5.36,8,77.1100006103516,23.1499996185303,2023,3,I,6,IN,ZONE_COVERAGE,0,0.784799985121936,-0.834560805466026,31,4,4
1190,52430,7.0,6.0,7.0,6.5,5.0,5.0,Offense,2023091004,16,WR,Targeted Receiver,28.72,13.64,5.01,3.49,99.46,78.42,11,39.4900016784668,19.7800006866455,2023,1,C,16,POST,ZONE_COVERAGE,25,0.863247209228575,1.56578804296441,26,6,6
1946,46109,6.5,4.5,7.5,5.5,4.5,4.0,Offense,2023091009,40,WR,Targeted Receiver,2.95,35.78,4.64,4.65,330.64,42.99,10,1.33000004291534,43.5,2023,1,C,5,CROSS,ZONE_COVERAGE,5,4.65196104731876,2.34803895268124,50,6,5
921,52425,4.0,5.5,7.5,4.0,2.5,3.0,Offense,2023091710,13,WR,Targeted Receiver,65.65,17.6,4.83,2.67,250.47,254.55,9,62.5099983215332,6.17999982833862,2023,2,C,4,OUT,MAN_COVERAGE,12,1.83927299408242,1.34875933267176,23,5,4
3204,40026,6.0,5.5,7.0,4.0,2.5,4.0,Offense,2023091801,34,WR,Targeted Receiver,43.82,18.33,9.42,1.95,282.37,282.02,32,7.8600001335144,7.69000005722046,2023,2,I,51,GO,ZONE_COVERAGE,0,2.9731749878265,-0.512223577825353,44,5,5
3796,52441,5.5,7.5,7.0,4.5,4.5,2.5,Offense,2023091702,13,WR,Targeted Receiver,62.61,10.76,6.18,1.45,98.6,104.07,11,67.1399993896484,4.69999980926514,2023,2,I,9,OUT,ZONE_COVERAGE,0,2.63605435041245,-0.444265874684788,23,6,5
3302,41238,7.5,5.5,6.0,5.5,5.0,4.5,Offense,2023091001,15,WR,Targeted Receiver,36.13,42.84,6.58,1.52,89.45,59.68,12,39.560001373291,50.4099998474121,2023,1,C,8,OUT,ZONE_COVERAGE,8,-0.312477839644998,2.07278620102443,25,6,6
4147,39973,7.0,6.5,8.0,7.0,4.0,4.0,Offense,2023091005,28,WR,Targeted Receiver,22.55,22.29,2.76,2.34,303.99,20.38,9,21.5,29.2000007629395,2023,1,C,6,HITCH,ZONE_COVERAGE,6,3.19428674341179,-0.566400193492882,38,6,6
2918,53707,4.5,3.5,6.0,5.0,3.5,3.0,Offense,2023092404,8,WR,Targeted Receiver,85.91,14.88,3.45,4.52,106.65,104.03,9,90.4300003051758,6.07999992370605,2023,3,C,5,OUT,ZONE_COVERAGE,6,3.86758844810538,0.0852974116569385,18,4,4
307,54603,6.0,4.0,7.0,5.0,3.0,3.0,Offense,2023092412,33,WR,Targeted Receiver,45.15,41.96,8.45,1.32,49.05,117.77,13,48.2099990844727,52.4900016784668,2023,3,I,12,OUT,MAN_COVERAGE,0,0.179570931009948,-1.56402175361291,43,5,5
3653,54603,6.0,3.5,6.0,5.5,2.0,3.0,Offense,2023092412,19,WR,Targeted Receiver,83.08,19.74,3.85,1.97,233.9,272.7,8,81.629997253418,9.80000019073486,2023,3,I,6,OUT,ZONE_COVERAGE,0,1.28919985890388,-0.560118411201984,29,5,4
676,44896,6.0,6.0,7.5,6.5,3.5,3.5,Offense,2023091706,21,WR,Targeted Receiver,57.21,11.56,7.57,0.57,84.93,89.78,11,65.2699966430664,22.4300003051758,2023,2,C,20,IN,ZONE_COVERAGE,24,1.81637176615186,1.95176007249393,31,6,6
2449,47834,5.5,7.5,6.5,6.0,4.0,4.5,Offense,2023091011,18,WR,Targeted Receiver,43.95,12.19,7.08,0.5,87.31,82.62,11,51.9799995422363,22.0100002288818,2023,1,C,15,POST,ZONE_COVERAGE,15,1.71102644549683,1.00255625415593,28,6,6
1882,44896,7.0,6.0,6.0,6.0,4.0,3.5,Offense,2023091706,18,WR,Targeted Receiver,28.39,43.96,6.51,1.16,287.26,303.75,22,4.21000003814697,52.1500015258789,2023,2,I,23,GO,ZONE_COVERAGE,0,3.69313269923441,-0.245279624941759,28,6,5
1760,54519,6.5,6.0,5.5,6.0,3.5,4.5,Offense,2023092411,18,WR,Targeted Receiver,27.97,22.01,6.26,1.59,266.91,271.41,16,19.1700000762939,9.40999984741211,2023,3,I,15,OUT,MAN_COVERAGE,0,3.27801458211616,-0.859930511680432,28,6,5
3001,43329,6.5,5.5,6.0,5.5,4.0,4.5,Offense,2023091013,20,WR,Targeted Receiver,54.17,35.41,7.1,1.04,237.13,225.63,10,50.3199996948242,21.8400001525879,2023,1,I,11,CROSS,MAN_COVERAGE,0,2.50089497375302,-1.00450692116283,30,6,5
4826,53488,6.5,6.5,6.5,5.0,4.5,3.5,Offense,2023092409,13,WR,Targeted Receiver,51.94,20.13,5.53,2.47,275.13,264.51,8,46.0200004577637,24.5400009155273,2023,3,I,9,IN,ZONE_COVERAGE,0,2.69852399866795,-0.466555981314741,23,6,5
147,54481,5.5,6.5,7.0,6.0,4.0,4.0,Offense,2023091007,29,WR,Targeted Receiver,60.26,17.47,6.33,5.15,75.46,58.64,10,58.5699996948242,21.25,2023,1,C,12,HITCH,ZONE_COVERAGE,12,1.68355953856371,1.2755931855645,39,6,6
1944,43344,5.5,5.5,7.5,7.0,3.0,2.5,Offense,2023091002,39,WR,Targeted Receiver,87.39,42.62,6.19,0.3,357.28,48.28,8,87.0400009155273,53.060001373291,2023,1,C,4,OUT,ZONE_COVERAGE,4,0.195156060857698,-0.0394790230784565,49,6,5
2270,40488,4.5,4.5,6.5,4.5,4.0,3.0,Offense,2023092409,31,WR,Targeted Receiver,76.03,19.59,3.45,2.24,334.65,41.27,9,75.9300003051758,20.7800006866455,2023,3,C,11,HITCH,ZONE_COVERAGE,12,0.82369332248345,0.435704348608851,41,5,4
2308,52595,6.0,6.5,7.0,6.0,4.0,3.5,Offense,2023091801,12,WR,Other Route Runner,54.26,44.7,3.96,4.35,90.27,79.21,8,52.8899993896484,10.3699998855591,2023,2,C,0,FLAT,ZONE_COVERAGE,8,1.73070236097556,0.386566316825338,22,6,6
3372,54475,6.0,3.5,6.5,5.5,2.5,2.5,Offense,2023091710,9,WR,Targeted Receiver,35.09,9.47,3.23,4.0,111.08,97.92,12,47.2299995422363,4.59999990463257,2023,2,C,14,GO,MAN_COVERAGE,15,1.70336780836806,0.751716746832244,19,5,4
1502,55904,4.5,4.0,6.0,5.0,3.0,3.0,Offense,2023092409,9,WR,Targeted Receiver,85.61,8.33,3.67,5.31,268.98,291.17,9,80.1800003051758,13.8199996948242,2023,3,C,8,SLANT,ZONE_COVERAGE,8,1.08487549284473,0.281782906502485,19,4,4
1604,41290,5.0,6.0,7.5,6.0,3.5,4.0,Offense,2023092412,33,WR,Other Route Runner,79.53,24.22,8.19,1.29,196.21,163.09,10,74.879997253418,1.96000003814697,2023,3,C,13,HITCH,ZONE_COVERAGE,13,1.3188820250798,0.548052852973342,43,6,5
2545,53541,7.0,4.0,7.0,6.0,3.0,3.0,Offense,2023092402,5,WR,Targeted Receiver,70.62,33.4,2.1,4.19,335.65,297.27,8,66.3000030517578,41.7000007629395,2023,3,C,0,FLAT,MAN_COVERAGE,11,1.68360048253089,1.58172885584645,15,5,5
3298,53678,7.0,6.0,7.5,6.0,4.0,3.5,Offense,2023091012,33,WR,Targeted Receiver,2.61,34.36,7.13,2.26,350.43,64.48,8,11.1899995803833,44.8699989318848,2023,1,I,-1,CROSS,MAN_COVERAGE,0,5.78288539702771,-1.27854478225345,43,6,6
134,41238,5.5,5.5,6.0,4.5,2.5,4.0,Offense,2023091702,13,WR,Targeted Receiver,68.31,16.92,5.34,2.66,250.56,273.45,13,64.4300003051758,6.65000009536743,2023,2,C,5,OUT,MAN_COVERAGE,5,1.89173416560516,0.0498617074918002,23,5,5
1304,45185,6.5,7.0,7.5,6.0,5.5,4.5,Offense,2023091712,21,WR,Targeted Receiver,52.31,44.71,6.66,1.87,78.03,93.92,27,80.9100036621094,54.5200004577637,2023,2,I,40,GO,ZONE_COVERAGE,0,1.86923430627212,-0.492869731970131,31,6,6
1770,42412,7.0,6.0,7.5,4.5,3.5,3.5,Offense,2023092409,29,WR,Targeted Receiver,48.74,19.45,8.53,1.15,96.57,112.93,22,68.5199966430664,35.7900009155273,2023,3,I,34,POST,ZONE_COVERAGE,0,1.07551653892733,-0.538257716922089,39,6,5
3350,54519,7.0,5.5,7.5,5.5,3.5,3.0,Offense,2023092411,20,WR,Targeted Receiver,76.34,12.28,3.88,5.17,276.28,273.97,13,71.5299987792969,2.49000000953674,2023,3,C,10,OUT,MAN_COVERAGE,11,0.522633744869381,1.80260388669558,30,6,5
1869,44930,6.5,6.5,7.0,5.5,4.0,3.5,Offense,2023090700,18,WR,Targeted Receiver,73.04,35.56,4.92,1.72,267.42,227.2,7,72.0299987792969,31.0799999237061,2023,1,C,6,HITCH,MAN_COVERAGE,8,0.264584244228899,0.0911143853445537,28,6,6
119,47808,5.5,5.0,6.0,5.0,3.0,3.0,Offense,2023091708,10,WR,Targeted Receiver,57.66,9.39,4.59,4.95,83.74,96.31,8,66.5299987792969,17.0599994659424,2023,2,C,10,SLANT,MAN_COVERAGE,12,2.5919075391721,0.994100220734254,20,5,5
3140,47834,6.0,6.0,7.5,6.5,2.5,2.0,Offense,2023091011,16,WR,Other Route Runner,36.27,43.22,5.22,2.05,101.75,94.69,13,30.8700008392334,5.01000022888184,2023,1,C,-2,SCREEN,ZONE_COVERAGE,4,0.470760204363614,-0.227733133826405,26,6,5
711,55886,6.5,7.0,6.0,4.5,4.0,3.0,Offense,2023091702,13,WR,Targeted Receiver,49.42,38.27,4.69,3.56,288.57,297.72,24,22.5100002288818,49.1199989318848,2023,2,I,30,GO,MAN_COVERAGE,0,1.94163696747273,-2.06462125689723,23,6,5
4269,52465,5.5,4.0,5.5,6.0,2.5,3.0,Offense,2023091709,17,WR,Targeted Receiver,55.06,40.94,6.13,1.06,82.49,109.97,11,58.2999992370605,39.310001373291,2023,2,C,10,HITCH,ZONE_COVERAGE,9,1.70790428033797,0.278379711613525,27,5,4
3696,56045,7.0,4.5,5.5,5.0,3.5,4.0,Defense,2023092410,9,CB,Defensive Coverage,92.09,9.77,1.92,5.92,128.33,242.59,8,95.879997253418,13.539999961853,2023,3,C,8,SLANT,ZONE_COVERAGE,10,4.78631027578376,-0.105650018085726,19,5,5
540,46215,6.0,5.5,6.5,5.0,3.0,3.0,Defense,2023092402,17,CB,Defensive Coverage,41.11,34.92,5.38,3.38,163.3,199.57,8,46.8300018310547,30.0200004577637,2023,3,C,10,HITCH,MAN_COVERAGE,15,1.74332938855514,0.691293670795858,27,5,5
3163,46087,3.0,2.5,6.0,4.0,2.5,2.5,Defense,2023091700,29,CB,Defensive Coverage,56.75,44.05,5.25,2.37,278.98,211.97,26,26.8700008392334,43.0200004577637,2023,2,C,41,GO,ZONE_COVERAGE,45,1.70975504815578,3.48143876728136,39,4,3
4327,55137,5.0,6.0,6.5,5.5,3.0,3.5,Defense,2023091704,35,CB,Defensive Coverage,63.92,43.07,1.94,4.45,197.24,184.61,9,68.370002746582,37.2999992370605,2023,2,I,13,HITCH,ZONE_COVERAGE,0,0.823075911845081,-0.190782218822278,45,5,5
3335,53462,7.5,8.0,7.5,6.0,4.5,3.5,Defense,2023091003,10,CB,Defensive Coverage,91.3,9.16,1.32,4.84,183.71,82.51,9,87.2799987792969,38.5400009155273,2023,1,I,5,IN,ZONE_COVERAGE,0,0.445391634013504,-0.716451491694897,20,7,6
2485,46168,6.5,8.5,6.5,5.5,4.5,3.5,Defense,2023092403,17,CB,Defensive Coverage,96.13,45.18,2.02,3.64,241.15,91.91,8,93.6800003051758,38.1199989318848,2023,3,I,7,SLANT,MAN_COVERAGE,0,-1.0856110304594,-1.61828792374581,27,6,6
1810,53476,9.0,8.0,7.0,5.0,5.0,5.5,Defense,2023091010,8,CB,Defensive Coverage,53.57,34.96,0.53,0.98,294.08,77.99,11,55.7799987792969,34.7299995422363,2023,1,C,6,IN,MAN_COVERAGE,8,2.3434022385627,0.320211148238741,18,7,7
1409,44823,3.0,2.5,3.0,2.5,1.0,2.0,Defense,2023092403,24,CB,Defensive Coverage,44.53,9.56,4.9,0.78,250.28,272.87,28,12.3900003433228,24.6399993896484,2023,3,I,45,POST,ZONE_COVERAGE,0,3.04519321932457,-0.436664386419579,34,2,2
2613,54486,6.5,9.0,7.5,6.5,2.0,3.0,Defense,2023090700,25,CB,Defensive Coverage,81.27,17.72,5.38,2.45,273.69,317.08,12,69.7900009155273,22.3299999237061,2023,1,C,18,IN,MAN_COVERAGE,18,0.952536528464407,1.44721733918414,35,6,6
3644,55137,7.5,9.5,8.0,6.5,5.5,6.5,Defense,2023091704,15,CB,Defensive Coverage,24.68,38.21,3.15,1.74,299.42,76.65,14,21.3799991607666,49.5099983215332,2023,2,C,12,OUT,ZONE_COVERAGE,23,4.66754080867395,2.33245919132605,25,7,7
3663,43314,9.5,7.5,8.0,7.5,4.0,4.5,Defense,2023091012,14,CB,Defensive Coverage,41.7,34.55,0.89,1.13,331.92,84.02,26,13.6300001144409,2.72000002861023,2023,1,I,33,GO,ZONE_COVERAGE,0,2.76102120045107,-1.31403543159831,24,7,7
928,46194,6.0,5.5,4.5,4.5,3.0,2.5,Defense,2023091400,10,CB,Defensive Coverage,64.08,35.5,1.01,1.56,234.14,85.04,10,61.5400009155273,46.5299987792969,2023,2,C,5,HITCH,ZONE_COVERAGE,9,1.7030351520516,0.401045208331198,20,5,4
3891,54622,7.5,9.0,7.0,6.0,4.0,3.5,Defense,2023092500,7,CB,Defensive Coverage,103.53,10.67,0.14,1.41,94.42,224.88,7,101.190002441406,18.0100002288818,2023,3,C,3,SLANT,MAN_COVERAGE,4,2.98015981761273,-2.98015981761273,17,7,6
2346,55969,6.0,7.0,6.0,4.5,3.0,3.0,Defense,2023092412,19,CB,Defensive Coverage,38.15,36.02,5.31,3.69,171.92,197.18,8,36.3800010681152,21.2099990844727,2023,3,C,3,CROSS,MAN_COVERAGE,32,0.213170912116766,3.24990486796014,29,5,5
2687,52469,5.0,5.5,4.0,5.0,3.0,3.0,Defense,2023092401,18,CB,Defensive Coverage,83.03,39.92,2.31,2.42,53.74,211.75,9,89.5599975585938,31.4400005340576,2023,3,C,10,IN,ZONE_COVERAGE,12,3.33067478239536,1.67921183793806,28,4,4
1398,44878,8.0,9.0,8.0,6.5,3.5,4.5,Defense,2023092501,21,CB,Defensive Coverage,80.4,42.49,4.88,4.96,217.16,177.28,8,77.1100006103516,23.1499996185303,2023,3,I,6,IN,ZONE_COVERAGE,0,0.784799985121936,-0.834560805466026,31,7,7
1190,53583,6.0,6.0,5.5,5.0,3.5,4.5,Defense,2023092407,19,CB,Defensive Coverage,40.95,18.96,3.95,2.24,79.27,326.83,18,51.4900016784668,6.30000019073486,2023,3,C,15,OUT,ZONE_COVERAGE,15,0.374717040918767,2.05251634656452,29,5,5
1946,42361,6.0,3.5,6.5,4.5,3.0,2.5,Defense,2023091009,40,CB,Defensive Coverage,9.17,45.28,4.24,1.11,3.74,67.92,10,1.33000004291534,43.5,2023,1,C,5,CROSS,ZONE_COVERAGE,5,4.65196104731876,2.34803895268124,50,5,4
921,46211,5.5,6.5,6.5,5.0,4.0,3.0,Defense,2023091710,13,CB,Defensive Coverage,60.97,12.32,2.8,2.86,301.01,23.96,9,62.5099983215332,6.17999982833862,2023,2,C,4,OUT,MAN_COVERAGE,12,1.83927299408242,1.34875933267176,23,6,5
3204,46698,6.0,5.0,4.5,5.0,3.0,2.5,Defense,2023091801,34,CB,Defensive Coverage,43.44,14.84,7.63,1.14,277.33,289.23,32,7.8600001335144,7.69000005722046,2023,2,I,51,GO,ZONE_COVERAGE,0,2.9731749878265,-0.512223577825353,44,5,4
3796,42393,6.5,4.0,5.5,5.5,2.5,3.5,Defense,2023091702,13,CB,Defensive Coverage,67.82,10.53,3.37,1.05,104.7,261.94,11,67.1399993896484,4.69999980926514,2023,2,I,9,OUT,ZONE_COVERAGE,0,2.63605435041245,-0.444265874684788,23,5,5
3302,42441,7.0,6.5,7.5,6.5,5.0,6.0,Defense,2023091001,15,CB,Defensive Coverage,39.87,43.16,5.06,0.83,89.48,181.82,12,39.560001373291,50.4099998474121,2023,1,C,8,OUT,ZONE_COVERAGE,8,-0.312477839644998,2.07278620102443,25,6,6
4147,54514,5.5,6.5,7.0,7.0,5.0,3.5,Defense,2023091005,28,CB,Defensive Coverage,21.44,17.12,0.08,2.39,205.06,101.38,9,21.5,29.2000007629395,2023,1,C,6,HITCH,ZONE_COVERAGE,6,3.19428674341179,-0.566400193492882,38,6,6
2918,53503,6.5,8.5,6.5,6.0,4.0,4.0,Defense,2023092408,19,CB,Defensive Coverage,99.24,45.05,4.66,2.06,78.04,267.19,10,92.0299987792969,45.2700004577637,2023,3,C,2,OUT,ZONE_COVERAGE,3,4.72147094004322,-0.233388566644862,29,6,6
307,53596,7.0,8.5,7.5,6.0,3.0,3.5,Defense,2023092412,33,CB,Defensive Coverage,45.68,41.2,8.11,1.35,48.63,342.43,13,48.2099990844727,52.4900016784668,2023,3,I,12,OUT,MAN_COVERAGE,0,0.179570931009948,-1.56402175361291,43,6,6
3653,53596,7.0,6.5,6.5,4.5,4.0,4.0,Defense,2023092412,19,CB,Defensive Coverage,82.39,21.53,2.74,2.77,194.15,121.59,8,81.629997253418,9.80000019073486,2023,3,I,6,OUT,ZONE_COVERAGE,0,1.28919985890388,-0.560118411201984,29,6,5
676,52458,7.0,7.0,6.5,7.5,3.5,4.0,Defense,2023091706,21,CB,Defensive Coverage,61.38,10.99,5.24,1.3,83.89,359.48,11,65.2699966430664,22.4300003051758,2023,2,C,20,IN,ZONE_COVERAGE,24,1.81637176615186,1.95176007249393,31,6,6
2449,55881,7.0,5.5,5.5,5.0,3.0,3.0,Defense,2023091011,18,CB,Defensive Coverage,48.04,11.03,4.58,1.41,92.7,23.86,11,51.9799995422363,22.0100002288818,2023,1,C,15,POST,ZONE_COVERAGE,15,1.71102644549683,1.00255625415593,28,5,5
1882,52458,7.5,7.5,7.5,6.0,4.0,4.5,Defense,2023091706,18,CB,Defensive Coverage,26.04,44.87,2.55,3.87,320.12,120.28,22,4.21000003814697,52.1500015258789,2023,2,I,23,GO,ZONE_COVERAGE,0,3.69313269923441,-0.245279624941759,28,6,6
1760,52458,7.0,5.5,7.0,5.5,4.0,4.0,Defense,2023092411,18,CB,Defensive Coverage,27.15,22.65,4.66,2.0,274.92,119.18,16,19.1700000762939,9.40999984741211,2023,3,I,15,OUT,MAN_COVERAGE,0,3.27801458211616,-0.859930511680432,28,6,6
3001,38540,6.5,6.5,6.0,5.5,3.5,5.5,Defense,2023091013,20,CB,Defensive Coverage,54.15,36.52,6.39,0.5,231.17,320.76,10,50.3199996948242,21.8400001525879,2023,1,I,11,CROSS,MAN_COVERAGE,0,2.50089497375302,-1.00450692116283,30,6,6
4826,43314,6.5,5.5,6.5,6.5,3.0,4.0,Defense,2023092409,13,CB,Defensive Coverage,52.27,18.47,1.28,1.97,252.35,81.62,8,46.0200004577637,24.5400009155273,2023,3,I,9,IN,ZONE_COVERAGE,0,2.69852399866795,-0.466555981314741,23,6,5
147,56045,7.0,6.0,5.5,6.5,3.5,1.5,Defense,2023091007,29,CB,Defensive Coverage,61.13,15.23,5.75,2.64,68.62,33.27,10,58.5699996948242,21.25,2023,1,C,12,HITCH,ZONE_COVERAGE,12,1.68355953856371,1.2755931855645,39,6,5
1944,46073,7.5,6.0,7.0,6.5,3.0,4.0,Defense,2023091002,39,CB,Defensive Coverage,80.8,45.75,4.76,1.58,334.33,229.18,8,87.0400009155273,53.060001373291,2023,1,C,4,OUT,ZONE_COVERAGE,4,0.195156060857698,-0.0394790230784565,49,6,6
2270,43314,6.5,6.0,6.0,6.0,4.0,3.0,Defense,2023092409,31,CB,Defensive Coverage,77.26,19.03,1.13,2.61,303.35,65.97,9,75.9300003051758,20.7800006866455,2023,3,C,11,HITCH,ZONE_COVERAGE,12,0.82369332248345,0.435704348608851,41,6,5
2308,54533,6.0,6.5,6.0,5.0,3.0,3.5,Defense,2023092401,13,CB,Defensive Coverage,70.04,15.66,1.54,2.48,251.1,86.17,8,74.0699996948242,13.1199998855591,2023,3,C,3,OUT,ZONE_COVERAGE,5,1.14805797627196,1.14375107642263,23,5,5
3372,38540,6.5,8.0,8.0,7.5,4.0,5.0,Defense,2023091710,9,CB,Defensive Coverage,36.78,9.57,2.46,3.7,104.51,254.87,12,47.2299995422363,4.59999990463257,2023,2,C,14,GO,MAN_COVERAGE,15,1.70336780836806,0.751716746832244,19,7,6
1502,43314,7.5,7.5,8.0,5.0,4.5,4.5,Defense,2023092409,9,CB,Defensive Coverage,79.81,35.82,1.32,1.91,309.72,125.79,9,80.1800003051758,13.8199996948242,2023,3,C,8,SLANT,ZONE_COVERAGE,8,1.08487549284473,0.281782906502485,19,6,6
1604,55969,6.5,9.0,8.5,7.5,4.0,5.0,Defense,2023092412,33,CB,Defensive Coverage,67.92,13.01,5.23,4.53,239.2,171.92,10,74.879997253418,1.96000003814697,2023,3,C,13,HITCH,ZONE_COVERAGE,13,1.3188820250798,0.548052852973342,43,7,7
2545,52424,8.5,9.0,8.5,7.0,4.0,6.5,Defense,2023092402,5,CB,Defensive Coverage,64.77,37.55,2.56,2.72,192.96,134.33,8,66.3000030517578,41.7000007629395,2023,3,C,0,FLAT,MAN_COVERAGE,11,1.68360048253089,1.58172885584645,15,7,7
3298,54618,5.0,5.0,5.5,5.5,3.0,3.5,Defense,2023091012,33,CB,Defensive Coverage,7.13,21.4,4.51,3.12,292.75,322.06,8,11.1899995803833,44.8699989318848,2023,1,I,-1,CROSS,MAN_COVERAGE,0,5.78288539702771,-1.27854478225345,43,5,5
134,43641,5.0,6.0,6.0,5.5,2.5,3.5,Defense,2023091702,13,CB,Defensive Coverage,65.06,16.82,2.5,3.7,237.63,113.49,13,64.4300003051758,6.65000009536743,2023,2,C,5,OUT,MAN_COVERAGE,5,1.89173416560516,0.0498617074918002,23,5,5
1304,43299,7.0,7.0,7.0,6.5,4.0,4.5,Defense,2023091712,21,CB,Defensive Coverage,57.08,43.82,4.45,1.67,80.75,113.62,27,80.9100036621094,54.5200004577637,2023,2,I,40,GO,ZONE_COVERAGE,0,1.86923430627212,-0.492869731970131,31,6,6
1770,46124,6.0,7.5,7.0,6.5,3.5,3.5,Defense,2023092409,29,CB,Defensive Coverage,47.01,34.79,5.88,2.21,159.73,183.93,22,68.5199966430664,35.7900009155273,2023,3,I,34,POST,ZONE_COVERAGE,0,1.07551653892733,-0.538257716922089,39,6,6
3350,56030,7.5,6.0,6.5,6.0,4.0,5.0,Defense,2023092411,20,CB,Defensive Coverage,75.15,11.81,4.59,0.77,299.61,12.3,13,71.5299987792969,2.49000000953674,2023,3,C,10,OUT,MAN_COVERAGE,11,0.522633744869381,1.80260388669558,30,6,6
