play_id,wr_id,A_wr,S_wr,E_wr,Eyes_wr,Innovation_wr,Improv_wr,db_id,A_db,S_db,E_db,Eyes_db,Innovation_db,Improv_db
2270,40488,4.5,5.5,5.5,5.5,4.5,2.5,43314,7.0,6.0,6.0,5.5,4.0,3.5
2308,52595,5.5,5.5,6.5,6.5,4.0,4.5,54533,6.5,7.0,6.0,5.5,3.0,3.5
3372,54475,5.0,4.0,6.0,5.0,3.0,3.5,38540,7.0,8.5,8.0,6.5,4.0,4.5
1502,55904,5.5,3.5,6.0,5.5,3.5,2.5,43314,7.0,8.0,7.5,6.5,3.0,4.0
1604,41290,5.0,6.5,6.0,6.5,5.0,4.5,55969,7.0,8.0,7.5,6.5,4.5,5.5
2545,53541,6.5,4.0,7.5,5.5,3.0,2.5,52424,7.5,9.0,8.5,7.5,3.5,6.5
3298,53678,7.0,6.5,6.0,6.5,4.0,4.5,54618,6.0,5.0,6.0,4.5,3.0,3.0
134,41238,5.5,5.5,6.0,5.0,3.0,4.0,43641,6.0,6.0,5.5,6.5,3.0,3.5
1304,45185,7.0,7.5,7.5,6.5,5.5,4.0,43299,6.5,7.0,7.5,6.0,4.5,5.0
1770,42412,6.5,5.0,7.0,4.5,3.0,3.0,46124,6.0,7.0,7.0,7.0,3.0,3.0
3350,54519,7.5,6.0,8.0,6.5,3.5,4.0,56030,7.0,5.5,7.0,5.5,5.0,4.5
1869,44930,7.5,6.5,7.5,6.0,4.0,4.5,52546,6.5,6.5,6.5,6.5,4.0,4.5
119,47808,6.5,4.5,5.5,5.0,3.0,3.0,44830,7.5,6.0,6.5,6.0,4.0,3.5
3140,47834,6.0,5.5,7.0,6.5,3.0,2.5,55881,8.0,7.5,8.0,5.0,3.0,4.0
711,55886,7.0,7.5,6.0,5.0,4.0,2.5,54525,5.5,6.0,4.5,5.5,4.0,4.5
4269,52465,5.5,5.0,6.0,6.5,3.5,3.0,53601,7.5,6.0,7.0,6.5,4.0,4.0
